ENSG00000148218	ENSG00000144410
ENSG00000204217	ENSG00000074181
ENSG00000114166	ENSG00000148700
ENSG00000131183	ENSG00000198569
ENSG00000120156	ENSG00000138061
ENSG00000160183	ENSG00000165474
ENSG00000120008	ENSG00000101292
ENSG00000116039	ENSG00000105929
ENSG00000171714	ENSG00000142173
ENSG00000011275	ENSG00000213523
ENSG00000148606	ENSG00000077782
ENSG00000171316	ENSG00000175325
ENSG00000165731	ENSG00000168621
ENSG00000116001	ENSG00000161011
ENSG00000110076	ENSG00000179915
ENSG00000116062	ENSG00000132781
ENSG00000126602	ENSG00000103313
ENSG00000178295	ENSG00000158955
ENSG00000171560	ENSG00000171564
ENSG00000137857	ENSG00000140279
ENSG00000081052	ENSG00000188153
ENSG00000081052	ENSG00000169031
ENSG00000165731	ENSG00000136160
ENSG00000077782	ENSG00000101292
ENSG00000160050	ENSG00000174483
ENSG00000144191	ENSG00000170289
ENSG00000135604	ENSG00000180644
ENSG00000076944	ENSG00000092929
ENSG00000183918	ENSG00000092929
ENSG00000092929	ENSG00000180644
ENSG00000092929	ENSG00000101966
ENSG00000076944	ENSG00000180644
ENSG00000140463	ENSG00000174483
ENSG00000125124	ENSG00000174483
ENSG00000125863	ENSG00000125124
ENSG00000092054	ENSG00000112769
ENSG00000077498	ENSG00000104044
ENSG00000189171	ENSG00000188015
ENSG00000077782	ENSG00000075213
ENSG00000071564	ENSG00000240505
ENSG00000160789	ENSG00000102119
ENSG00000179941	ENSG00000181004
ENSG00000174483	ENSG00000181004
ENSG00000179941	ENSG00000125863
ENSG00000100918	ENSG00000164404
ENSG00000213930	ENSG00000183770
ENSG00000077935	ENSG00000106410
ENSG00000164404	ENSG00000183733
ENSG00000053918	ENSG00000055118
ENSG00000138686	ENSG00000140463
ENSG00000138686	ENSG00000125124
ENSG00000107736	ENSG00000137474
ENSG00000164199	ENSG00000137474
ENSG00000107736	ENSG00000006611
ENSG00000137474	ENSG00000042781
ENSG00000164199	ENSG00000095397
ENSG00000136881	ENSG00000119139
ENSG00000116688	ENSG00000104381
ENSG00000139515	ENSG00000162992
ENSG00000107815	ENSG00000140521
ENSG00000100567	ENSG00000204264
ENSG00000159377	ENSG00000240065
ENSG00000067842	ENSG00000101680
ENSG00000101292	ENSG00000011201
ENSG00000186862	ENSG00000042781
ENSG00000164199	ENSG00000186862
ENSG00000135424	ENSG00000078814
ENSG00000140463	ENSG00000125124
ENSG00000065618	ENSG00000196878
ENSG00000158828	ENSG00000185345
ENSG00000110324	ENSG00000167207
ENSG00000169031	ENSG00000188153
ENSG00000142156	ENSG00000163359
ENSG00000188910	ENSG00000165474
ENSG00000135903	ENSG00000165474
ENSG00000160973	ENSG00000156925
ENSG00000136698	ENSG00000156574
ENSG00000156925	ENSG00000183072
ENSG00000116984	ENSG00000168216
ENSG00000117385	ENSG00000125084
ENSG00000158813	ENSG00000135925
ENSG00000101292	ENSG00000109163
ENSG00000138079	ENSG00000021488
ENSG00000138061	ENSG00000034971
ENSG00000125124	ENSG00000181004
ENSG00000114650	ENSG00000113492
ENSG00000130529	ENSG00000183873
ENSG00000162337	ENSG00000188107
ENSG00000105697	ENSG00000010704
ENSG00000132781	ENSG00000114026
ENSG00000160789	ENSG00000175084
ENSG00000179270	ENSG00000183638
ENSG00000077782	ENSG00000109163
ENSG00000077782	ENSG00000107831
ENSG00000138100	ENSG00000158022
ENSG00000163421	ENSG00000109163
ENSG00000053918	ENSG00000183873
ENSG00000101076	ENSG00000135100
ENSG00000116014	ENSG00000101292
ENSG00000116288	ENSG00000158828
ENSG00000113971	ENSG00000144061
ENSG00000113971	ENSG00000131697
ENSG00000113971	ENSG00000119509
ENSG00000170927	ENSG00000048342
ENSG00000142166	ENSG00000159128
ENSG00000153201	ENSG00000157184
ENSG00000149489	ENSG00000112619
ENSG00000100934	ENSG00000177239
ENSG00000069431	ENSG00000155657
ENSG00000096696	ENSG00000155657
ENSG00000092054	ENSG00000162614
ENSG00000092054	ENSG00000203867
ENSG00000162614	ENSG00000155657
ENSG00000204217	ENSG00000130037
ENSG00000075891	ENSG00000126778
ENSG00000186847	ENSG00000186081
ENSG00000177807	ENSG00000091137
ENSG00000136861	ENSG00000103995
ENSG00000054598	ENSG00000143196
ENSG00000187098	ENSG00000165474
ENSG00000164093	ENSG00000054598
ENSG00000161270	ENSG00000116218
ENSG00000128731	ENSG00000134250
ENSG00000137474	ENSG00000150275
ENSG00000182040	ENSG00000150275
ENSG00000107736	ENSG00000150275
ENSG00000142168	ENSG00000110887
ENSG00000107290	ENSG00000142168
ENSG00000124164	ENSG00000214274
ENSG00000107290	ENSG00000089280
ENSG00000204843	ENSG00000107290
ENSG00000120948	ENSG00000124164
ENSG00000107290	ENSG00000270647
ENSG00000166484	ENSG00000174469
ENSG00000138829	ENSG00000103494
ENSG00000105948	ENSG00000136068
ENSG00000112655	ENSG00000136068
ENSG00000163913	ENSG00000136068
ENSG00000166147	ENSG00000138821
ENSG00000046651	ENSG00000136068
ENSG00000115486	ENSG00000091262
ENSG00000011275	ENSG00000164164
ENSG00000162337	ENSG00000174804
ENSG00000162337	ENSG00000106025
ENSG00000175213	ENSG00000174804
ENSG00000175213	ENSG00000124479
ENSG00000162337	ENSG00000124479
ENSG00000142627	ENSG00000091137
ENSG00000198087	ENSG00000116218
ENSG00000118762	ENSG00000008710
ENSG00000150893	ENSG00000133454
ENSG00000139318	ENSG00000163492
ENSG00000144730	ENSG00000011201
ENSG00000077782	ENSG00000144730
ENSG00000114554	ENSG00000187678
ENSG00000123240	ENSG00000183735
ENSG00000055118	ENSG00000183873
ENSG00000077782	ENSG00000139318
ENSG00000139318	ENSG00000187678
ENSG00000077782	ENSG00000187678
ENSG00000077782	ENSG00000125848
ENSG00000077782	ENSG00000116014
ENSG00000077782	ENSG00000165802
ENSG00000077782	ENSG00000011201
ENSG00000101292	ENSG00000163421
ENSG00000077498	ENSG00000187098
ENSG00000136931	ENSG00000169946
ENSG00000156049	ENSG00000118960
ENSG00000120948	ENSG00000161011
ENSG00000104973	ENSG00000163050
ENSG00000154309	ENSG00000164690
ENSG00000162711	ENSG00000103313
ENSG00000067182	ENSG00000103313
ENSG00000092529	ENSG00000175084
ENSG00000092054	ENSG00000118194
ENSG00000106571	ENSG00000077782
ENSG00000077782	ENSG00000167601
ENSG00000167601	ENSG00000121966
ENSG00000089250	ENSG00000198570
ENSG00000172572	ENSG00000167632
ENSG00000172020	ENSG00000129682
ENSG00000101384	ENSG00000151743
ENSG00000106571	ENSG00000109163
ENSG00000147437	ENSG00000144644
ENSG00000107290	ENSG00000123240
ENSG00000181090	ENSG00000164073
ENSG00000123240	ENSG00000100285
ENSG00000147955	ENSG00000110887
ENSG00000123240	ENSG00000142168
ENSG00000142168	ENSG00000161011
ENSG00000083937	ENSG00000100285
ENSG00000065618	ENSG00000110723
ENSG00000102245	ENSG00000101966
ENSG00000174804	ENSG00000106025
ENSG00000187240	ENSG00000137601
ENSG00000174417	ENSG00000091137
ENSG00000091137	ENSG00000140279
ENSG00000140274	ENSG00000042832
ENSG00000042832	ENSG00000140279
ENSG00000115705	ENSG00000042832
ENSG00000165409	ENSG00000115705
ENSG00000115705	ENSG00000107249
ENSG00000165699	ENSG00000105991
ENSG00000114062	ENSG00000165699
ENSG00000103197	ENSG00000151067
ENSG00000008086	ENSG00000151067
ENSG00000151067	ENSG00000165699
ENSG00000103197	ENSG00000165699
ENSG00000128573	ENSG00000152208
ENSG00000152208	ENSG00000165699
ENSG00000151067	ENSG00000169057
ENSG00000151067	ENSG00000105991
ENSG00000103197	ENSG00000114062
ENSG00000157087	ENSG00000107736
ENSG00000168269	ENSG00000091137
ENSG00000188153	ENSG00000130702
ENSG00000075275	ENSG00000180900
ENSG00000075275	ENSG00000161202
ENSG00000112655	ENSG00000180900
ENSG00000165802	ENSG00000011201
ENSG00000165802	ENSG00000169836
ENSG00000135446	ENSG00000136997
ENSG00000125730	ENSG00000117335
ENSG00000103249	ENSG00000110719
ENSG00000165409	ENSG00000140279
ENSG00000165409	ENSG00000042832
ENSG00000096696	ENSG00000173801
ENSG00000055118	ENSG00000180509
ENSG00000152580	ENSG00000130653
ENSG00000069020	ENSG00000196557
ENSG00000144285	ENSG00000069020
ENSG00000171723	ENSG00000069020
ENSG00000006283	ENSG00000184156
ENSG00000140274	ENSG00000140279
ENSG00000135925	ENSG00000053747
ENSG00000136352	ENSG00000042832
ENSG00000101384	ENSG00000165409
ENSG00000107249	ENSG00000140279
ENSG00000165409	ENSG00000178919
ENSG00000125618	ENSG00000107249
ENSG00000115705	ENSG00000140279
